analysis_id	sample_id	fasta
ancient	Baboon19	/home/danielc/danielc2/ancient_microbiomes/results/2_assembly/Baboon19/Baboon19.contigs.fa
ancient	Baboon22	/home/danielc/danielc2/ancient_microbiomes/results/2_assembly/Baboon22/Baboon22.contigs.fa
ancient	Baboon36B	/home/danielc/danielc2/ancient_microbiomes/results/2_assembly/Baboon36B/Baboon36B.contigs.fa
ancient	Chimp20	/home/danielc/danielc2/ancient_microbiomes/results/2_assembly/Chimp20/Chimp20.contigs.fa
ancient	Chimp25	/home/danielc/danielc2/ancient_microbiomes/results/2_assembly/Chimp25/Chimp25.contigs.fa
ancient	Chimp29	/home/danielc/danielc2/ancient_microbiomes/results/2_assembly/Chimp29/Chimp29.contigs.fa
ancient	Dunia_s_4	/home/danielc/danielc2/ancient_microbiomes/results/2_assembly/Dunia_s_4/Dunia_s_4.contigs.fa
ancient	Dunia_s_5	/home/danielc/danielc2/ancient_microbiomes/results/2_assembly/Dunia_s_5/Dunia_s_5.contigs.fa
ancient	ERR1094777	/home/danielc/danielc2/ancient_microbiomes/results/2_assembly/ERR1094777/ERR1094777.contigs.fa
ancient	ERR1094778	/home/danielc/danielc2/ancient_microbiomes/results/2_assembly/ERR1094778/ERR1094778.contigs.fa
ancient	ERR1094779	/home/danielc/danielc2/ancient_microbiomes/results/2_assembly/ERR1094779/ERR1094779.contigs.fa
ancient	ERR1094780	/home/danielc/danielc2/ancient_microbiomes/results/2_assembly/ERR1094780/ERR1094780.contigs.fa
ancient	ERR1094781	/home/danielc/danielc2/ancient_microbiomes/results/2_assembly/ERR1094781/ERR1094781.contigs.fa
ancient	ERR1094782	/home/danielc/danielc2/ancient_microbiomes/results/2_assembly/ERR1094782/ERR1094782.contigs.fa
ancient	ERR1094783	/home/danielc/danielc2/ancient_microbiomes/results/2_assembly/ERR1094783/ERR1094783.contigs.fa
ancient	ERR1094784	/home/danielc/danielc2/ancient_microbiomes/results/2_assembly/ERR1094784/ERR1094784.contigs.fa
ancient	ERR1094785	/home/danielc/danielc2/ancient_microbiomes/results/2_assembly/ERR1094785/ERR1094785.contigs.fa
ancient	ERR1094786	/home/danielc/danielc2/ancient_microbiomes/results/2_assembly/ERR1094786/ERR1094786.contigs.fa
ancient	ERR1094787	/home/danielc/danielc2/ancient_microbiomes/results/2_assembly/ERR1094787/ERR1094787.contigs.fa
ancient	ERR1094788	/home/danielc/danielc2/ancient_microbiomes/results/2_assembly/ERR1094788/ERR1094788.contigs.fa
ancient	ERR1094789	/home/danielc/danielc2/ancient_microbiomes/results/2_assembly/ERR1094789/ERR1094789.contigs.fa
ancient	ERR1094790	/home/danielc/danielc2/ancient_microbiomes/results/2_assembly/ERR1094790/ERR1094790.contigs.fa
ancient	ERR1094791	/home/danielc/danielc2/ancient_microbiomes/results/2_assembly/ERR1094791/ERR1094791.contigs.fa
ancient	ERR1094792	/home/danielc/danielc2/ancient_microbiomes/results/2_assembly/ERR1094792/ERR1094792.contigs.fa
ancient	ERR1094793	/home/danielc/danielc2/ancient_microbiomes/results/2_assembly/ERR1094793/ERR1094793.contigs.fa
ancient	ERR1094794	/home/danielc/danielc2/ancient_microbiomes/results/2_assembly/ERR1094794/ERR1094794.contigs.fa
ancient	Howler1	/home/danielc/danielc2/ancient_microbiomes/results/2_assembly/Howler1/Howler1.contigs.fa
ancient	Howler2	/home/danielc/danielc2/ancient_microbiomes/results/2_assembly/Howler2/Howler2.contigs.fa
ancient	Howler3	/home/danielc/danielc2/ancient_microbiomes/results/2_assembly/Howler3/Howler3.contigs.fa
ancient	Lemur1	/home/danielc/danielc2/ancient_microbiomes/results/2_assembly/Lemur1/Lemur1.contigs.fa
ancient	Lemur8	/home/danielc/danielc2/ancient_microbiomes/results/2_assembly/Lemur8/Lemur8.contigs.fa
ancient	Lemur9	/home/danielc/danielc2/ancient_microbiomes/results/2_assembly/Lemur9/Lemur9.contigs.fa
ancient	Pinga_s_2	/home/danielc/danielc2/ancient_microbiomes/results/2_assembly/Pinga_s_2/Pinga_s_2.contigs.fa
ancient	Pinga_s_3	/home/danielc/danielc2/ancient_microbiomes/results/2_assembly/Pinga_s_3/Pinga_s_3.contigs.fa
ancient	Serafuli_s_6	/home/danielc/danielc2/ancient_microbiomes/results/2_assembly/Serafuli_s_6/Serafuli_s_6.contigs.fa
ancient	Serafuli_s_7	/home/danielc/danielc2/ancient_microbiomes/results/2_assembly/Serafuli_s_7/Serafuli_s_7.contigs.fa
ancient	SRR12557702	/home/danielc/danielc2/ancient_microbiomes/results/2_assembly/SRR12557702/SRR12557702.contigs.fa
ancient	SRR12557703	/home/danielc/danielc2/ancient_microbiomes/results/2_assembly/SRR12557703/SRR12557703.contigs.fa
ancient	SRR12557704	/home/danielc/danielc2/ancient_microbiomes/results/2_assembly/SRR12557704/SRR12557704.contigs.fa
ancient	SRR12557705	/home/danielc/danielc2/ancient_microbiomes/results/2_assembly/SRR12557705/SRR12557705.contigs.fa
ancient	SRR12557706	/home/danielc/danielc2/ancient_microbiomes/results/2_assembly/SRR12557706/SRR12557706.contigs.fa
ancient	SRR12557707	/home/danielc/danielc2/ancient_microbiomes/results/2_assembly/SRR12557707/SRR12557707.contigs.fa
ancient	SRR12557708	/home/danielc/danielc2/ancient_microbiomes/results/2_assembly/SRR12557708/SRR12557708.contigs.fa
ancient	SRR12557709	/home/danielc/danielc2/ancient_microbiomes/results/2_assembly/SRR12557709/SRR12557709.contigs.fa
ancient	SRR12557710	/home/danielc/danielc2/ancient_microbiomes/results/2_assembly/SRR12557710/SRR12557710.contigs.fa
ancient	SRR12557711	/home/danielc/danielc2/ancient_microbiomes/results/2_assembly/SRR12557711/SRR12557711.contigs.fa
ancient	SRR12557712	/home/danielc/danielc2/ancient_microbiomes/results/2_assembly/SRR12557712/SRR12557712.contigs.fa
ancient	SRR12557713	/home/danielc/danielc2/ancient_microbiomes/results/2_assembly/SRR12557713/SRR12557713.contigs.fa
ancient	SRR12557714	/home/danielc/danielc2/ancient_microbiomes/results/2_assembly/SRR12557714/SRR12557714.contigs.fa
ancient	SRR12557715	/home/danielc/danielc2/ancient_microbiomes/results/2_assembly/SRR12557715/SRR12557715.contigs.fa
ancient	SRR12557716	/home/danielc/danielc2/ancient_microbiomes/results/2_assembly/SRR12557716/SRR12557716.contigs.fa
ancient	SRR12557717	/home/danielc/danielc2/ancient_microbiomes/results/2_assembly/SRR12557717/SRR12557717.contigs.fa
ancient	SRR12557718	/home/danielc/danielc2/ancient_microbiomes/results/2_assembly/SRR12557718/SRR12557718.contigs.fa
ancient	SRR12557719	/home/danielc/danielc2/ancient_microbiomes/results/2_assembly/SRR12557719/SRR12557719.contigs.fa
ancient	SRR12557720	/home/danielc/danielc2/ancient_microbiomes/results/2_assembly/SRR12557720/SRR12557720.contigs.fa
ancient	SRR12557721	/home/danielc/danielc2/ancient_microbiomes/results/2_assembly/SRR12557721/SRR12557721.contigs.fa
ancient	SRR12557722	/home/danielc/danielc2/ancient_microbiomes/results/2_assembly/SRR12557722/SRR12557722.contigs.fa
ancient	SRR12557723	/home/danielc/danielc2/ancient_microbiomes/results/2_assembly/SRR12557723/SRR12557723.contigs.fa
ancient	SRR12557724	/home/danielc/danielc2/ancient_microbiomes/results/2_assembly/SRR12557724/SRR12557724.contigs.fa
ancient	SRR12557725	/home/danielc/danielc2/ancient_microbiomes/results/2_assembly/SRR12557725/SRR12557725.contigs.fa
ancient	SRR12557726	/home/danielc/danielc2/ancient_microbiomes/results/2_assembly/SRR12557726/SRR12557726.contigs.fa
ancient	SRR12557727	/home/danielc/danielc2/ancient_microbiomes/results/2_assembly/SRR12557727/SRR12557727.contigs.fa
ancient	SRR12557728	/home/danielc/danielc2/ancient_microbiomes/results/2_assembly/SRR12557728/SRR12557728.contigs.fa
ancient	SRR12557729	/home/danielc/danielc2/ancient_microbiomes/results/2_assembly/SRR12557729/SRR12557729.contigs.fa
ancient	SRR12557731	/home/danielc/danielc2/ancient_microbiomes/results/2_assembly/SRR12557731/SRR12557731.contigs.fa
ancient	SRR12557730	/home/danielc/danielc2/ancient_microbiomes/results/2_assembly/SRR12557730/SRR12557730.contigs.fa
ancient	SRR12557732	/home/danielc/danielc2/ancient_microbiomes/results/2_assembly/SRR12557732/SRR12557732.contigs.fa
